127.0.0.1 - - [20/Jun/2023:09:35:40 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:13 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:13 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:13 +0900] "GET /controller/resources/img/bg-header-bottom.png HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:13 +0900] "GET /controller/resources/img/bg-header-top.png HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:13 +0900] "GET /controller/resources/img/i.png HTTP/1.1" 200 302823
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:13 +0900] "GET /controller/resources/img/ma.png HTTP/1.1" 200 356321
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:18 +0900] "GET /controller/myPage.do HTTP/1.1" 200 13383
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:18 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:18 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:18 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:18 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/images/logo_1.png HTTP/1.1" 200 447555
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:19 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:20 +0900] "GET /controller/UserResult.do HTTP/1.1" 200 30533
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/images/logo_1.png HTTP/1.1" 200 447555
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/img/oh.png HTTP/1.1" 200 117828
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/img/why.png HTTP/1.1" 200 129552
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/img/oh.png HTTP/1.1" 200 117828
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/img/why.png HTTP/1.1" 200 129552
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:21 +0900] "GET /controller/resultList.do HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:22 +0900] "GET /controller/resources/img/favicon.icon HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/ HTTP/1.1" 200 16335
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/images/logo_1.png HTTP/1.1" 200 447555
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/img/board.png HTTP/1.1" 200 227939
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/img/help.png HTTP/1.1" 200 56571
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/img/ma.png HTTP/1.1" 200 356321
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/img/i.png HTTP/1.1" 200 302823
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/img/bg-header-top.png HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/img/bg-header-bottom.png HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/img/i.png HTTP/1.1" 200 302823
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:39 +0900] "GET /controller/resources/img/ma.png HTTP/1.1" 200 356321
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/loginPage.do HTTP/1.1" 200 13563
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/images/logo_1.png HTTP/1.1" 200 447555
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/img/kakao_login.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/images/logo.png HTTP/1.1" 200 450272
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:41 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:46 +0900] "GET /controller/loginPage.do HTTP/1.1" 200 13563
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:46 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:46 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:46 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:46 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:46 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:46 +0900] "GET /controller/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:46 +0900] "GET /controller/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:46 +0900] "GET /controller/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:46 +0900] "GET /controller/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:46 +0900] "GET /controller/resources/images/logo_1.png HTTP/1.1" 200 447555
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:46 +0900] "GET /controller/resources/img/kakao_login.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Jun/2023:09:36:46 +0900] "GET /controller/resources/images/logo.png HTTP/1.1" 200 450272
